family	case	revision	rep	latency_ns	ops_per_sec	mib_per_sec	p50_us	p90_us	p99_us	ttfb_p90_us	wall_seconds	cache_hits	cache_misses	cache_writes	read_errors	write_errors	timeouts	hit_avg_ms	write_avg_ms	request_errors	case_request_errors	error_detail	ops_expected	ops_success	statuses
criterion	encode_set_info_rename/long_255	after	3	970.6837034570539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_set_info_rename/short_5	before	1	120.60638937246125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_set_info_rename/short_5	before	2	125.39667302391095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_set_info_rename/short_5	before	3	119.63560691248001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_set_info_rename/short_5	after	1	120.06800846821848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_set_info_rename/short_5	after	2	121.61272024059022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_set_info_rename/short_5	after	3	124.31498597710475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_set_info_rename/typical_40	before	1	295.8344214768897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_set_info_rename/typical_40	before	2	295.5234431095224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_set_info_rename/typical_40	before	3	316.32959221848114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_set_info_rename/typical_40	after	1	301.2424006973923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_set_info_rename/typical_40	after	2	294.9980593932488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_set_info_rename/typical_40	after	3	301.07807687169975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_write_request/1024	before	1	73.99877838723636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_write_request/1024	before	2	74.53043254266395	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_write_request/1024	before	3	75.76708227391363	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_write_request/1024	after	1	74.24045942941831	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_write_request/1024	after	2	74.05550355896952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_write_request/1024	after	3	75.38619181904204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_write_request/131072	before	1	1460.4846945065422	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_write_request/131072	before	2	1422.291155968831	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_write_request/131072	before	3	1423.384231604838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_write_request/131072	after	1	1446.1217155549643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_write_request/131072	after	2	1442.2159596900221	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_write_request/131072	after	3	1439.005107706132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_write_request/64	before	1	62.1193234476367	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
criterion	encode_write_request/64	before	2	60.266431463353484	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
