family	concurrency	phase	arm	rep	ops_per_sec	mib_per_sec	p50_ms	p90_ms	p99_ms	request_errors	case_errors	ops	queue_bytes	error_detail
sustained	32	get	published-1g	2	4462.44	2547.47	0.778	8.223	43.529	0	0	16384	1073741824	{}
sustained	32	head-hit	published-1g	2	9756.86	0.0	0.701	8.479	20.666	0	0	16384	1073741824	{}
sustained	32	head-miss	published-1g	2	6567.9	0.0	4.744	6.372	11.672	0	0	16384	1073741824	{}
sustained	32	mixed	published-1g	2	2728.74	1246.96	0.926	14.819	208.651	0	0	16384	1073741824	{}
sustained	8	put	optimized-1g	2	323.91	184.91	0.22	96.444	369.116	0	0	4096	1073741824	{}
sustained	8	get	optimized-1g	2	4103.66	2342.65	0.673	3.206	14.625	0	0	4096	1073741824	{}
sustained	8	head-hit	optimized-1g	2	9769.71	0.0	0.581	1.511	9.203	0	0	4096	1073741824	{}
sustained	8	head-miss	optimized-1g	2	7344.84	0.0	0.579	1.724	12.193	0	0	4096	1073741824	{}
sustained	8	mixed	optimized-1g	2	3304.1	1544.02	0.692	3.16	36.816	0	0	4096	1073741824	{}
sustained	32	put	optimized-1g	2	327.31	186.85	0.084	266.785	1436.342	0	0	16384	1073741824	{}
sustained	32	get	optimized-1g	2	5599.63	3196.66	1.109	7.402	27.106	0	0	16384	1073741824	{}
sustained	32	head-hit	optimized-1g	2	11300.75	0.0	0.316	7.467	16.513	0	0	16384	1073741824	{}
sustained	32	head-miss	optimized-1g	2	6600.8	0.0	4.459	7.605	21.677	0	0	16384	1073741824	{}
sustained	32	mixed	optimized-1g	2	4039.91	1846.13	0.73	15.19	88.51	0	0	16384	1073741824	{}
sustained	8	put	optimized-2g	2	1312.85	749.47	0.31	1.027	170.424	0	0	4096	2147483648	{}
sustained	8	get	optimized-2g	2	428.93	244.86	0.571	42.068	313.174	0	0	4096	2147483648	{}
sustained	8	head-hit	optimized-2g	2	5104.62	0.0	0.096	3.162	19.812	0	0	4096	2147483648	{}
sustained	8	head-miss	optimized-2g	2	8689.5	0.0	0.525	1.53	7.009	0	0	4096	2147483648	{}
sustained	8	mixed	optimized-2g	2	1067.2	498.7	0.877	11.973	109.582	0	0	4096	2147483648	{}
sustained	32	put	optimized-2g	2	1384.47	790.35	0.231	1.698	585.333	0	0	16384	2147483648	{}
sustained	32	get	optimized-2g	2	6080.55	3471.2	1.107	4.518	35.07	0	0	16384	2147483648	{}
sustained	32	head-hit	optimized-2g	2	18680.61	0.0	0.165	4.845	18.328	0	0	16384	2147483648	{}
sustained	32	head-miss	optimized-2g	2	6526.02	0.0	2.733	9.649	34.524	0	0	16384	2147483648	{}
sustained	32	mixed	optimized-2g	2	3171.83	1449.44	0.934	9.819	185.139	0	0	16384	2147483648	{}
sustained	8	put	trunk-1g	2	318.54	181.84	0.221	97.332	333.323	0	0	4096	1073741824	{}
sustained	8	get	trunk-1g	2	4444.36	2537.15	0.706	2.617	20.699	0	0	4096	1073741824	{}
sustained	8	head-hit	trunk-1g	2	5746.66	0.0	0.657	2.878	19.4	0	0	4096	1073741824	{}
sustained	8	head-miss	trunk-1g	2	9499.1	0.0	0.565	1.141	5.032	0	0	4096	1073741824	{}
sustained	8	mixed	trunk-1g	2	2710.73	1266.74	0.72	4.472	40.124	0	0	4096	1073741824	{}
sustained	32	put	trunk-1g	2	306.16	174.78	0.09	315.674	1558.8	0	0	16384	1073741824	{}
sustained	32	get	trunk-1g	2	11819.68	6747.5	1.397	5.803	14.65	0	0	16384	1073741824	{}
sustained	32	head-hit	trunk-1g	2	14382.12	0.0	0.04	6.445	14.682	0	0	16384	1073741824	{}
sustained	32	head-miss	trunk-1g	2	6447.48	0.0	4.792	6.722	12.651	0	0	16384	1073741824	{}
sustained	32	mixed	trunk-1g	2	4352.67	1989.05	0.603	9.689	75.986	0	0	16384	1073741824	{}
sustained	8	put	optimized-1g	3	325.14	185.61	0.213	105.433	272.822	0	0	4096	1073741824	{}
sustained	8	get	optimized-1g	3	4154.59	2371.73	0.622	2.659	20.293	0	0	4096	1073741824	{}
sustained	8	head-hit	optimized-1g	3	11227.18	0.0	0.589	1.501	5.375	0	0	4096	1073741824	{}
sustained	8	head-miss	optimized-1g	3	10384.81	0.0	0.58	1.146	3.481	0	0	4096	1073741824	{}
sustained	8	mixed	optimized-1g	3	3645.5	1703.56	0.682	3.383	35.938	0	0	4096	1073741824	{}
sustained	32	put	optimized-1g	3	326.86	186.6	0.089	278.012	1410.038	0	0	16384	1073741824	{}
sustained	32	get	optimized-1g	3	5175.97	2954.8	0.793	6.5	31.279	0	0	16384	1073741824	{}
sustained	32	head-hit	optimized-1g	3	13606.05	0.0	0.063	6.348	14.039	0	0	16384	1073741824	{}
sustained	32	head-miss	optimized-1g	3	6969.31	0.0	4.386	6.914	16.052	0	0	16384	1073741824	{}
sustained	32	mixed	optimized-1g	3	3870.72	1768.81	0.607	12.891	71.069	0	0	16384	1073741824	{}
sustained	8	put	optimized-2g	3	1391.77	794.52	0.292	0.871	157.905	0	0	4096	2147483648	{}
sustained	8	get	optimized-2g	3	564.5	322.25	0.451	33.432	248.302	0	0	4096	2147483648	{}
sustained	8	head-hit	optimized-2g	3	5713.8	0.0	0.086	2.828	19.812	0	0	4096	2147483648	{}
sustained	8	head-miss	optimized-2g	3	3219.86	0.0	0.76	6.663	20.306	0	0	4096	2147483648	{}
sustained	8	mixed	optimized-2g	3	818.35	382.42	0.869	14.61	179.933	0	0	4096	2147483648	{}
sustained	32	put	optimized-2g	3	1377.67	786.47	0.288	1.825	484.485	0	0	16384	2147483648	{}
sustained	32	get	optimized-2g	3	8041.28	4590.52	1.147	4.375	28.808	0	0	16384	2147483648	{}
sustained	32	head-hit	optimized-2g	3	22629.51	0.0	0.163	4.619	12.453	0	0	16384	2147483648	{}
sustained	32	head-miss	optimized-2g	3	7934.35	0.0	2.201	8.703	26.884	0	0	16384	2147483648	{}
sustained	32	mixed	optimized-2g	3	3522.82	1609.83	0.601	9.65	137.762	0	0	16384	2147483648	{}
sustained	8	put	trunk-1g	3	325.61	185.88	0.21	84.205	355.823	0	0	4096	1073741824	{}
sustained	8	get	trunk-1g	3	6332.83	3615.22	0.66	2.227	10.71	0	0	4096	1073741824	{}
sustained	8	head-hit	trunk-1g	3	8106.98	0.0	0.575	1.842	14.472	0	0	4096	1073741824	{}
sustained	8	head-miss	trunk-1g	3	10476.36	0.0	0.479	1.165	5.181	0	0	4096	1073741824	{}
sustained	8	mixed	trunk-1g	3	2684.55	1254.5	0.682	5.104	35.438	0	0	4096	1073741824	{}
sustained	32	put	trunk-1g	3	322.72	184.23	0.082	273.794	1594.874	0	0	16384	1073741824	{}
sustained	32	get	trunk-1g	3	12543.97	7160.97	1.472	5.479	14.088	0	0	16384	1073741824	{}
sustained	32	head-hit	trunk-1g	3	15053.88	0.0	0.046	6.024	14.352	0	0	16384	1073741824	{}
sustained	32	head-miss	trunk-1g	3	6425.49	0.0	4.717	6.579	17.336	0	0	16384	1073741824	{}
sustained	32	mixed	trunk-1g	3	4367.84	1995.99	0.722	13.949	86.241	0	0	16384	1073741824	{}
sustained	8	put	published-1g	3	318.56	181.85	0.229	104.108	325.589	0	0	4096	1073741824	{}
sustained	8	get	published-1g	3	1956.28	1116.78	0.681	3.548	72.677	0	0	4096	1073741824	{}
sustained	8	head-hit	published-1g	3	11026.35	0.0	0.573	1.609	5.872	0	0	4096	1073741824	{}
sustained	8	head-miss	published-1g	3	8113.99	0.0	0.564	1.382	9.208	0	0	4096	1073741824	{}
sustained	8	mixed	published-1g	3	2746.09	1283.26	0.701	5.257	38.526	0	0	4096	1073741824	{}
sustained	32	put	published-1g	3	329.59	188.16	0.103	268.749	1388.469	0	0	16384	1073741824	{}
sustained	32	get	published-1g	3	4800.88	2740.68	0.927	7.828	29.334	0	0	16384	1073741824	{}
sustained	32	head-hit	published-1g	3	11129.7	0.0	0.064	7.931	18.47	0	0	16384	1073741824	{}
sustained	32	head-miss	published-1g	3	6727.55	0.0	4.193	8.575	24.186	0	0	16384	1073741824	{}
sustained	32	mixed	published-1g	3	2741.07	1252.6	0.816	18.037	208.88	0	0	16384	1073741824	{}
