family	concurrency	phase	arm	rep	ops_per_sec	mib_per_sec	p50_ms	p90_ms	p99_ms	request_errors	case_errors	ops	queue_bytes	error_detail
leaf-misses	32	mixed	before	3	589.93	273.53	4.667	50.207	422.264	0	0	768	1073741824	{}
leaf-misses	64	put	before	3	13145.01	7879.26	4.109	5.467	22.239	0	0	1536	1073741824	{}
leaf-misses	64	get	before	3	3370.84	2020.52	0.403	22.589	299.197	0	0	1536	1073741824	{}
leaf-misses	64	head-hit	before	3	16829.2	0.0	0.074	10.579	16.51	0	0	1536	1073741824	{}
leaf-misses	64	head-miss	before	3	7813.77	0.0	6.515	14.561	39.261	0	0	1536	1073741824	{}
leaf-misses	64	get-miss	before	3	4989.75	0.71	12.603	18.508	26.182	0	0	1536	1073741824	{}
leaf-misses	64	mixed	before	3	1058.39	510.73	10.321	84.697	797.202	0	0	1536	1073741824	{}
leaf-misses	128	put	before	3	10900.72	6534.01	9.46	11.512	45.095	0	0	3072	1073741824	{}
leaf-misses	128	get	before	3	3899.12	2337.17	6.5	12.927	404.804	0	0	3072	1073741824	{}
leaf-misses	128	head-hit	before	3	10877.77	0.0	0.04	39.942	120.555	0	0	3072	1073741824	{}
leaf-misses	128	head-miss	before	3	5802.9	0.0	21.797	30.994	39.048	0	0	3072	1073741824	{}
leaf-misses	128	get-miss	before	3	4101.26	0.59	26.641	48.156	98.541	0	0	3072	1073741824	{}
leaf-misses	128	mixed	before	3	2097.05	1006.39	0.171	70.442	854.771	0	0	3072	1073741824	{}
leaf-misses	256	put	before	3	9425.12	5649.52	21.095	33.701	151.061	0	0	6144	1073741824	{}
leaf-misses	256	get	before	3	8215.19	4924.27	6.465	48.052	322.249	0	0	6144	1073741824	{}
leaf-misses	256	head-hit	before	3	17105.38	0.0	0.159	48.829	62.449	0	0	6144	1073741824	{}
leaf-misses	256	head-miss	before	3	4751.18	0.0	50.221	67.363	104.173	0	0	6144	1073741824	{}
leaf-misses	256	get-miss	before	3	4919.88	0.7	49.063	89.205	150.282	0	0	6144	1073741824	{}
leaf-misses	256	mixed	before	3	1017.6	487.13	22.896	299.144	1640.481	0	0	6144	1073741824	{}
leaf-misses	1	put	after	3	5864.46	3515.22	0.057	0.306	2.994	0	0	512	1073741824	{}
leaf-misses	1	get	after	3	641.22	384.35	0.585	1.252	20.398	0	0	512	1073741824	{}
leaf-misses	1	head-hit	after	3	1468.84	0.0	0.653	0.736	1.498	0	0	512	1073741824	{}
leaf-misses	1	head-miss	after	3	966.64	0.0	0.959	1.124	2.605	0	0	512	1073741824	{}
